# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000150c3ad8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000de2ec09
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000026cf144f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000005d7607f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000022227a12
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000004d45265
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002c2bf667
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002c7969ed
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017507e75
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b5f5bb5
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] __kmem_cache_alloc_node
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a4b07d4
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] __kmalloc_node
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] kmem_cache_alloc
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] memcg_alloc_slab_cgroups
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] memcg_slab_post_alloc_hook
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001668925f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000019d0e942
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000031a7740c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000033ec7c94
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001f558869
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000014551350
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000021bf27da
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000033246188
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002bfcd22e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000007e61b2
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000099b756c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000de53f81
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000032d6513a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001c35e7d3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000271a1a2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000754c396
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000036e4c642
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] start_this_handle
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] __ext4_journal_start_sb
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] jbd2__journal_start
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c2e0d53
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000aca8c19
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7162a80
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002636199b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001bc85ea5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002edb3f5b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000021db97ff
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c335aec
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000035b50205
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7164240
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000006bb2aeb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000a9c1687
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001fa7a16f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000029c6a6b8
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] save_fpregs_to_fpstate
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000051d57a0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000137018eb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000032dc01e4
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000174ed514
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002a146223
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000035b142fd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000013da2088
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000023579456
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000030ed9b3e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ec3c00e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000318a2330
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000009e13834
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000030b9a2f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000265387d7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000011757284
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000cb3bb7d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000029065c89
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000000fd892
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000136ff09a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000014308bc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000391644de
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000901a523
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003996bf83
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000031831ec8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002932b647
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000366fae7f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026a14c23
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000014254d1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003327c838
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000000a26ad
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a009762
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000034cf0af3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000136efb74
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001939e71c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000026e0bc9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000027b1dc65
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000250607fb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000163bf3bb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a935c38
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000332538ed
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002afb41b8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000083acf12
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000004a69ed4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003079c27f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000caf0a8c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001289c4bb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001289d674
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001c2e3ff1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000091fbb14
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002bb21ea0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000025e9ae5e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000021df4655
     0.00%     0.00%             1  kworker/11:2-ev  [kernel.vmlinux]  [k] update_curr
     0.00%     0.00%             0  kworker/11:2-ev  [kernel.vmlinux]  [k] __schedule
     0.00%     0.00%             0  kworker/11:2-ev  [kernel.vmlinux]  [k] dequeue_entity
     0.00%     0.00%             0  kworker/11:2-ev  [kernel.vmlinux]  [k] dequeue_task
