# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 721080396983
#
# Children      Self       Samples  Command  Shared Object     Symbol                                      
# ........  ........  ............  .......  ................  ............................................
#
     1.19%     1.18%           710  fio      [kernel.vmlinux]  [k] native_apic_msr_eoi_write
     1.16%     0.14%            83  fio      [kernel.vmlinux]  [k] iovec_from_user.part.0
     1.14%     1.05%           635  fio      [kernel.vmlinux]  [k] wbt_track
     1.13%     0.08%            48  fio      [kernel.vmlinux]  [k] __rq_qos_track
     1.04%     0.26%           154  fio      [kernel.vmlinux]  [k] blk_mq_start_request
     1.00%     0.15%            92  fio      [kernel.vmlinux]  [k] bio_set_pages_dirty
     0.96%     0.74%           447  fio      [kernel.vmlinux]  [k] apparmor_file_permission
     0.95%     0.80%           484  fio      fio               [.] td_io_queue
     0.93%     0.80%           481  fio      [kernel.vmlinux]  [k] preempt_count_add
     0.92%     0.65%           393  fio      [kernel.vmlinux]  [k] io_prep_rw
     0.89%     0.84%           508  fio      [kernel.vmlinux]  [k] pfn_to_dma_pte
     0.85%     0.82%           493  fio      [kernel.vmlinux]  [k] fsnotify
     0.83%     0.53%           322  fio      fio               [.] get_next_rand_offset
     0.82%     0.32%           192  fio      [kernel.vmlinux]  [k] set_page_dirty_lock
     0.80%     0.50%           299  fio      fio               [.] fio_uring_commit
     0.74%     0.11%            66  fio      [kernel.vmlinux]  [k] fsnotify_perm.part.0
     0.73%     0.68%           410  fio      [kernel.vmlinux]  [k] check_preemption_disabled
     0.71%     0.03%            19  fio      [kernel.vmlinux]  [k] __slab_alloc.constprop.0
     0.70%     0.20%           120  fio      [kernel.vmlinux]  [k] blk_mq_rq_ctx_init.isra.0
     0.69%     0.66%           400  fio      fio               [.] fio_uring_event
     0.65%     0.14%            82  fio      [kernel.vmlinux]  [k] debug_smp_processor_id
     0.63%     0.32%           194  fio      [kernel.vmlinux]  [k] bio_associate_blkg_from_css
     0.63%     0.43%           261  fio      [kernel.vmlinux]  [k] syscall_enter_from_user_mode
     0.63%     0.36%           218  fio      [kernel.vmlinux]  [k] ___slab_alloc
     0.61%     0.33%           199  fio      [kernel.vmlinux]  [k] blk_cgroup_bio_start
     0.61%     0.45%           268  fio      fio               [.] __get_next_rand_offset.constprop.0
     0.61%     0.44%           263  fio      fio               [.] add_slat_sample
     0.60%     0.47%           284  fio      [kernel.vmlinux]  [k] __rcu_read_unlock
     0.59%     0.41%           246  fio      fio               [.] fio_uring_queue
     0.58%     0.04%            25  fio      [kernel.vmlinux]  [k] __fdget
     0.58%     0.49%           293  fio      [kernel.vmlinux]  [k] _raw_spin_lock_irq
     0.56%     0.06%            35  fio      [kernel.vmlinux]  [k] blk_mq_attempt_bio_merge
     0.56%     0.51%           308  fio      [kernel.vmlinux]  [k] ktime_get
     0.55%     0.53%           321  fio      [kernel.vmlinux]  [k] irqentry_enter
     0.54%     0.48%           288  fio      [kernel.vmlinux]  [k] __fget_light
     0.53%     0.05%            32  fio      [kernel.vmlinux]  [k] io_file_get_normal
     0.53%     0.53%           321  fio      [kernel.vmlinux]  [k] sync_regs
     0.53%     0.42%           251  fio      [kernel.vmlinux]  [k] __rcu_read_lock
     0.50%     0.38%           231  fio      [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     0.48%     0.47%           280  fio      fio               [.] fio_uring_getevents
